Column,id,title,publication,date
32156,50923,Tapper: Trump inaugural speech was ’purely populist’,CNN,2017-01-20
32159,50926,"Police injured, more than 200 arrested at Trump inauguration protests ",CNN,2017-01-19
32160,50927,The world reacts as Donald Trump takes power,CNN,2017-01-20
32161,50928,How Trump’s speech played on Capitol Hill,CNN,2017-01-20
32162,50929,Trump’s inauguration: How’d he do?,CNN,2017-01-20
32165,50932,Senate confirms Trump’s first two Cabinet members,CNN,2017-01-20
32167,50934,Inaugural address: Trump’s full speech,CNN,2017-01-20
32170,50937,Trump inauguration: key moments,CNN,2017-01-20
32171,50938,Trump DOJ asks for delay in voter ID case due to ’change in administration’,CNN,2017-01-20
32173,50940,Trump brings campaign populism to Washington,CNN,2017-01-20
32176,50943,Why we’ll help President Trump put people of color first ,CNN,2017-01-20
32178,50945,Shia LaBeouf begins four-year Trump protest,CNN,2017-01-20
32187,50954,Trump admin tells Park Service to halt tweets,CNN,2017-01-21
32194,50961,Brennan bashes Trump over speech during CIA visit,CNN,2017-01-21
32197,50964,"Day Two: Trump prayed, met CIA, attacked press",CNN,2017-01-21
32198,50965,Imam delivers message to Trump at inaugural service ,CNN,2017-01-20
32199,50966,"In R-rated anti-Trump rant, Madonna muses about ’blowing up the White House’",CNN,2017-01-21
32200,50967,Europe’s far-right leaders speak on Trump at conference,CNN,2017-01-21
32202,50969,Comparing Trump’s inauguration crowd to the Women’s March,CNN,2017-01-21
32203,50970,Will President Trump restart the drone war in Pakistan?,CNN,2017-01-21
32207,50974,Trump cake controversy turns out to have many layers,CNN,2017-01-21
32211,50978,What the Trump administration has done so far,CNN,2017-01-22
32218,50985,"Marchers won’t change Trump, could change world",CNN,2017-01-22
32220,50987,Trump to meet congressional leaders Monday at the White House,CNN,2017-01-22
32224,50991,"Trump softens tone in Sunday appearance, talks tornadoes and NAFTA",CNN,2017-01-22
32225,50992,"Trump to begin renegotiating NAFTA with leaders of Mexico, Canada",CNN,2017-01-22
32226,50993,"Dear team Trump, ’alternative facts’ are lies ",CNN,2017-01-22
32230,50997,Trump’s Hundred Days clock is ticking,CNN,2017-01-22
