Column,id,title,publication,date
605,17965,How to Interpret the Trump Administration’s Latest Signals on Mexico - The New York Times,New York Times,2017-01-27
606,17966,Mexico’s President Cancels Meeting With Trump Over Wall - The New York Times,New York Times,2017-01-27
607,17967,"Trump Orders a Wall Built, but Congress Holds the Checkbook - The New York Times",New York Times,2017-01-26
608,17968,Trump Strategist Stephen Bannon Says Media Should ‘Keep Its Mouth Shut’ - The New York Times,New York Times,2017-01-27
609,17969,Republicans Now Marching With Trump on Ideas They Had Opposed - The New York Times,New York Times,2017-01-27T00:00:00Z
610,17970,Trump to G.O.P. Gathering: Where’s My C.I.A. Director? - The New York Times,New York Times,2017-01-27
614,17974,British Alignment With Trump Threatens European Order - The New York Times,New York Times,2017-01-27
617,17977,Trump Follows Obama’s Lead in Flexing Executive Muscle - The New York Times,New York Times,2017-01-27T00:00:00Z
618,17978,That Old Phone Trump Uses for Twitter Could Be an Opening to Security Threats - The New York Times,New York Times,2017-01-27
620,17980,"Elon Musk Has Trump’s Ear, and Wall Street Takes Note - The New York Times",New York Times,2017-01-27
636,18000,Shia LaBeouf Is Arrested at Anti-Trump Art Show in New York - The New York Times,New York Times,2017-01-27
644,18008,Trump Meets Theresa May of Britain as He Weighs Lifting Russia Sanctions - The New York Times,New York Times,2017-01-28
646,18010,"Trump on Their Side, Conservatives See Hope in Lengthy Abortion Fight - The New York Times",New York Times,2017-01-27
648,18012,Trump Backers Like His First Draft of a New America - The New York Times,New York Times,2017-01-29
649,18013,Trump Avoids Answering Whether He Will Lift Sanctions on Russia - The New York Times,New York Times,2017-01-28
650,18014,Who Is Registered to Vote in Two States? Some in Trump’s Inner Circle - The New York Times,New York Times,2017-01-28
651,18015,Trump Called National Park Chief Over Twitter Post on Inaugural Crowd - The New York Times,New York Times,2017-01-27
654,18018,Trump’s Economic Vows May Be Harder to Hit After a Slow 2016 - The New York Times,New York Times,2017-01-28
655,18019,"Pressure From Trump May Delay a Factory’s Exit, but It Won’t Stop It - The New York Times",New York Times,2017-01-30
669,18035,Judge Blocks Trump Order on Refugees Amid Chaos and Outcry Worldwide - The New York Times,New York Times,2017-01-31
670,18036,"President Trump’s Immigration Order, Annotated - The New York Times",New York Times,2017-01-29
673,18039,‘Dreams Die’ for Refugees on Verge of Coming to U.S. as Trump Closes Door - The New York Times,New York Times,2017-03-10
674,18040,Trump’s Immigration Order Could Have a Big Impact on Sports - The New York Times,New York Times,2017-01-29
677,18043,Trump’s Visa Ban May Keep Nominated Iranian Director From Attending Oscars - The New York Times,New York Times,2017-01-29
678,18044,‘Up Is Down’: Trump’s Unreality Show Echoes His Business Past - The New York Times,New York Times,2017-01-29
695,18062,Travelers Stranded and Protests Swell Over Trump Order - The New York Times,New York Times,2017-01-30
696,18063,How Trump’s Rush to Enact an Immigration Ban Unleashed Global Chaos - The New York Times,New York Times,2017-01-30
697,18064,Lawyers Mobilize at Nation’s Airports After Trump’s Order - The New York Times,New York Times,2017-01-30
698,18065,Trump’s Executive Order on Immigration: What We Know and What We Don’t - The New York Times,New York Times,2017-01-31
699,18066,"Trump’s Immigration Order Jolts Iraqis, U.S.’s Top Allies Against ISIS - The New York Times",New York Times,2017-01-30
701,18068,Silicon Valley’s Ambivalence Toward Trump Turns to Anger - The New York Times,New York Times,2017-01-31
703,18070,Christian Leaders Denounce Trump’s Plan to Favor Christian Refugees - The New York Times,New York Times,2017-01-30
707,18074,Trump Administration Defends Bannon’s Role on Security Council - The New York Times,New York Times,2017-01-30
718,18108,Trump Fires Acting Attorney General Who Defied Him - The New York Times,New York Times,2017-01-31
719,18111,"For Leaders of U.S. Allies, Getting Close to Trump Can Sting - The New York Times",New York Times,2017-01-31
720,18112,The Alt-Majority: How Social Networks Empowered Mass Protests Against Trump - The New York Times,New York Times,2017-02-02
721,18113,Trump’s Trade War May Have Already Begun - The New York Times,New York Times,2017-02-03
722,18114,"In a Week, Trump Reshapes Decades of Perceptions About America - The New York Times",New York Times,2017-01-30
723,18116,"Science Will Suffer Under Trump’s Travel Ban, Researchers Say - The New York Times",New York Times,2017-02-02
724,18117,Trump Supporters Applaud Immigration Order as a ‘Welcome Change’ - The New York Times,New York Times,2017-01-31
725,18118,Samantha Bee to Roast Trump on Same Night as Correspondents’ Dinner - The New York Times,New York Times,2017-02-03
727,18120,"Donald Trump, Quebec City, Patriots: Your Monday Evening Briefing - The New York Times",New York Times,2017-01-30
730,18123,"Sean Spicer, Trump Press Secretary, Is ‘Not Here to Be Someone’s Buddy’ - The New York Times",New York Times,2017-02-04
